Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
36,1,TNPW0603200KBEEA,Vishay TNPW Series Thin Film Surface Mount Resistor 0603 Case 200k +/-0.1% 0.1W +/-25ppm/K,TNPW0603200KBEEA,R4(200K),Vishay,TNPW0603200KBEEA,442,,,
37,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM)1,Vishay,CRCW201010R0JNEFIF,496,,,
38,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM)2,Vishay,CRCW201010R0JNEFIF,445,,,
39,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM),Vishay,CRCW201010R0JNEFIF,487,,,
40,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R8(200OHM),Vishay,CRCW0402200RFKEDHP,267,,,
41,1,ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",ERJUP6D1300V,R9(130OHM),Panasonic,ERJUP6D1300V,235,,,
42,1,MCA12060D5000BP500,"500 Ohms +/-0.1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",MCA12060D5000BP500,R11(500OHM),Vishay,MCA12060D5000BP500,439,,,
43,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R15(200OHM),Vishay,CRCW0402200RFKEDHP,322,,,
44,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R16(200OHM),Vishay,CRCW0402200RFKEDHP,276,,,
45,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R21(200OHM),Vishay,CRCW0402200RFKEDHP,232,,,
46,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R22(200OHM),Vishay,CRCW0402200RFKEDHP,334,,,
47,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR7(20KOHM),Bourns,3224W-1-203E,288,,,
48,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR14(20KOHM),Bourns,3224W-1-203E,238,,,
49,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR20(20KOHM),Bourns,3224W-1-203E,248,,,
50,1,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,MTAPD-06-013,U75,Marktech Optoelectronics,MTAPD-06-013,464,,,
51,1,TS7Y502KR32,"5 kOhms 0.5W, 1/2W Gull Wing Surface Mount Trimmer Potentiometer Cermet 1.0 Turn Top Adjustment",TS7Y502KR32,VR1,Vishay,TS7Y502KR32,499,,,
