-1.835973E-08,6.28E-03
-1.830973E-08,5.76E-03
-1.825973E-08,5.24E-03
-1.820973E-08,4.72E-03
-1.815973E-08,4.20E-03
-1.810973E-08,4.20E-03
-1.805973E-08,4.20E-03
-1.800973E-08,3.15E-03
-1.795973E-08,2.63E-03
-1.790973E-08,1.59E-03
-1.785973E-08,1.07E-03
-1.780973E-08,5.5E-04
-1.775973E-08,-5.0E-04
-1.770973E-08,2E-05
-1.765973E-08,-1.02E-03
-1.760973E-08,-1.02E-03
-1.755973E-08,-1.02E-03
-1.750973E-08,-2.06E-03
-1.745973E-08,-2.06E-03
-1.740973E-08,-2.06E-03
-1.735973E-08,-2.06E-03
-1.730973E-08,-1.54E-03
-1.725973E-08,-1.54E-03
-1.720973E-08,-1.54E-03
-1.715973E-08,-5.0E-04
-1.710973E-08,1.07E-03
-1.705973E-08,1.59E-03
-1.700973E-08,2.63E-03
-1.695973E-08,3.15E-03
-1.690973E-08,4.20E-03
-1.685973E-08,6.28E-03
-1.680973E-08,8.37E-03
-1.675973E-08,9.93E-03
-1.670973E-08,1.150E-02
-1.665973E-08,1.254E-02
-1.660973E-08,1.515E-02
-1.655973E-08,1.724E-02
-1.650973E-08,1.776E-02
-1.645973E-08,1.985E-02
-1.640973E-08,2.141E-02
-1.635973E-08,2.245E-02
-1.630973E-08,2.402E-02
-1.625973E-08,2.558E-02
-1.620973E-08,2.611E-02
-1.615973E-08,2.767E-02
-1.610973E-08,2.819E-02
-1.605973E-08,2.871E-02
-1.600973E-08,2.924E-02
-1.595973E-08,2.976E-02
-1.590973E-08,2.976E-02
-1.585973E-08,3.028E-02
-1.580973E-08,3.028E-02
-1.575973E-08,2.976E-02
-1.570973E-08,2.976E-02
-1.565973E-08,2.976E-02
-1.560973E-08,2.924E-02
-1.555973E-08,2.924E-02
-1.550973E-08,2.924E-02
-1.545973E-08,2.924E-02
-1.540973E-08,2.924E-02
-1.535973E-08,2.976E-02
-1.530973E-08,2.924E-02
-1.525973E-08,2.976E-02
-1.520973E-08,3.080E-02
-1.515973E-08,3.132E-02
-1.510973E-08,3.184E-02
-1.505973E-08,3.237E-02
-1.500973E-08,3.393E-02
-1.495973E-08,3.445E-02
-1.490973E-08,3.550E-02
-1.485973E-08,3.654E-02
-1.480973E-08,3.758E-02
-1.475973E-08,3.915E-02
-1.470973E-08,4.019E-02
-1.465973E-08,4.332E-02
-1.460973E-08,4.384E-02
-1.455973E-08,4.436E-02
-1.450973E-08,4.541E-02
-1.445973E-08,4.697E-02
-1.440973E-08,4.802E-02
-1.435973E-08,4.906E-02
-1.430973E-08,4.958E-02
-1.425973E-08,5.010E-02
-1.420973E-08,5.010E-02
-1.415973E-08,5.062E-02
-1.410973E-08,5.114E-02
-1.405973E-08,5.062E-02
-1.400973E-08,5.062E-02
-1.395973E-08,5.062E-02
-1.390973E-08,5.010E-02
-1.385973E-08,4.906E-02
-1.380973E-08,4.854E-02
-1.375973E-08,4.697E-02
-1.370973E-08,4.593E-02
-1.365973E-08,4.489E-02
-1.360973E-08,4.436E-02
-1.355973E-08,4.228E-02
-1.350973E-08,4.071E-02
-1.345973E-08,3.967E-02
-1.340973E-08,3.706E-02
-1.335973E-08,3.497E-02
-1.330973E-08,3.393E-02
-1.325973E-08,3.289E-02
-1.320973E-08,3.132E-02
-1.315973E-08,2.976E-02
-1.310973E-08,2.819E-02
-1.305973E-08,2.715E-02
-1.300973E-08,2.611E-02
-1.295973E-08,2.506E-02
-1.290973E-08,2.454E-02
-1.285973E-08,2.402E-02
-1.280973E-08,2.245E-02
-1.275973E-08,2.193E-02
-1.270973E-08,2.193E-02
-1.265973E-08,2.141E-02
-1.260973E-08,2.141E-02
-1.255973E-08,2.141E-02
-1.250973E-08,2.193E-02
-1.245973E-08,2.298E-02
-1.240973E-08,2.350E-02
-1.235973E-08,2.454E-02
-1.230973E-08,2.506E-02
-1.225973E-08,2.663E-02
-1.220973E-08,2.715E-02
-1.215973E-08,2.819E-02
-1.210973E-08,2.924E-02
-1.205973E-08,2.976E-02
-1.200973E-08,3.080E-02
-1.195973E-08,3.237E-02
-1.190973E-08,3.289E-02
-1.185973E-08,3.341E-02
-1.180973E-08,3.393E-02
-1.175973E-08,3.497E-02
-1.170973E-08,3.497E-02
