Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C252,0.1uF,,,
1,,C253,0.1uF,,,
1,,C261,1n,,,
1,,C262,0.1u,,,
1,,C267,1n,,,
1,,C268,1n,,,
1,,C269,1n,,,
1,,R153,130,,,
1,,R154,200,,,
1,,R155,150,,,
1,,R156,20k,,,
1,,U1,OPAx277,,,
