Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
55,1,RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,R9(200),,,510,,,
56,1,ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",ERJUP6D1300V,R10(130OHM),Panasonic,ERJUP6D1300V,226,,,
57,1,P0603E50R0BBT,Thin Film Resistors - SMD .125watts 50ohms .1% 25ppm,P0603E50R0BBT,R11(50OHM),Vishay,P0603E50R0BBT,689,,,
58,1,R12-150B,"Recom 5W Isolated DC-DC Converter, Vin 10  14 V dc, Vout 95  210V dc, I/O isolation 3000V dc",R12-150B,R12_150B,,,200,,,
59,1,MCT06030C4020FP500,Thin Film Resistors - SMD MCT 0603-50 1% P5 402R,(R_402_ohm)MCT06030C4020FP500,R12(402),,,692,,,
60,1,ERJ3RED27R0V,Panasonic Thick Film Surface Mount Resistor 0603 Case 27 +/-0.5% 0.1W +/-100ppm/C,(R_27_ohm0603)ERJ3RED27R0V,R13(27),Panasonic,ERJ3RED27R0V,531,,,
61,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,R15(TRIM20KOHM),Bourns,3224W-1-203E,121,,,
62,1,RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,R16(200),,,538,,,
63,1,ERJS03F1300V,130 0603 Thick Film Surface Mount Resistor +/-1% 0.1W ERJS03F1300V,,R17(130),,,544,,,
64,1,CRCW0603100RFKEC,"VISHAY - CRCW0603100RFKEC - RES, AEC-Q200, THICK FILM, 100R, 0603",,R18(100),,,574,,,
65,1,RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,R19(0),,,559,,,
66,1,RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,R20(0),,,562,,,
67,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,R21(TRIM20KOHM),Bourns,3224W-1-203E,146,,,
68,1,RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,R22(200),,,541,,,
69,1,ERJS03F1300V,130 0603 Thick Film Surface Mount Resistor +/-1% 0.1W ERJS03F1300V,,R23(130),,,547,,,
70,1,P0603E50R0BBT,Thin Film Resistors - SMD .125watts 50ohms .1% 25ppm,P0603E50R0BBT,R24(50OHM),Vishay,P0603E50R0BBT,238,,,
71,1,CRCW0603100RFKEC,"VISHAY - CRCW0603100RFKEC - RES, AEC-Q200, THICK FILM, 100R, 0603",,R25(100),,,571,,,
72,1,RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,R26(0),,,565,,,
73,1,RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,R27(0),,,568,,,
74,1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,TLV3604_1,Texas Instruments,TLV3604DCKR,216,,,
75,1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,TLV3604_2,Texas Instruments,TLV3604DCKR,405,,,
76,1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",TSW-110-07-G-D,TSW11007GD,SAMTEC,TSW-110-07-G-D,48,,,
