Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,6.8uF,,,C1,,,6,,,
2,1,0.47uF,,,C2,,,3,,,
3,1,CBR08C508ACGAC,"CBR-SMD RF C0G, Ceramic, 0.5 pF, +/-0.05 pF, 500 VDC, 750 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.24 % , 10 GOhms, 410, 10.7 mg, 0805, 2mm, 1.25mm, 0.85mm, 0.5mm, 4000, 78  Weeks, 120",(0.5pF)CBR08C508ACGAC,C2(0.5PF),,,2330,,,
4,1,C3216X7R2A474K160AA,"TDK C3216 C 470nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10% SMD",C3216X7R2A474K160AA,C3(0.47UF)1,TDK,C3216X7R2A474K160AA,1893,,,
5,1,C3216X7R2A474K160AA,"TDK C3216 C 470nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10% SMD",C3216X7R2A474K160AA,C3(0.47UF)2,TDK,C3216X7R2A474K160AA,1924,,,
6,1,0.47uF,,,C7,,,21,,,
7,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C9(0.1UF),KEMET,C0603G104K5RACT250,2040,,,
8,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C10(0.1UF),KEMET,C0603G104K5RACT250,2022,,,
9,1,0.5pF,,,C12,,,427,,,
10,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C14(0.1UF),KEMET,C0603G104K5RACT250,2053,,,
