Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C250,0.1uF,,,
1,,C251,6.8uF,,,
1,,C252,0.1uF,,,
1,,C253,0.1uF,,,
1,,C254,0.1uF,,,
1,,C255,10nF,,,
1,,C256,6.8u,,,
1,,R145,200,,,
1,,R146,200,,,
1,,R147,100,,,
1,,R150,9.95k,,,
1,,R151,10.05k,,,
1,,U1,OPAx277,,,
1,,U74,TLV3604,,,
