Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C252,0.1uF,,,
1,,C253,0.1uF,,,
1,,C261,1n,,,
1,,C262,0.1u,,,
1,,C263,1n,,,
1,,C264,0.1u,,,
1,,C265,1.2p,,,
1,,C266,0.7p,,,
1,,C267,1n,,,
1,,C268,1n,,,
1,,C269,1n,,,
1,,R147,5k,,,
1,,R149,15k,,,
1,,R151,500,,,
1,,R153,130,,,
1,,R154,200,,,
1,,R155,100,,,
1,,R159,21.34G,,,
1,,U1,OPAx277,,,
1,,U76,OPA855,,,
