Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,(R_500_ohm0603)PLT0603Z5000AST5,R5(500),PLT0603Z5000AST5,Thin Film Resistors - SMD 150mW 500OHM 0.05% 0603 5PPM,Vishay,PLT0603Z5000AST5,PLT0603Z5000AST5-1846842685,PLT0603Z5000AST5,"Vishay Intertechnology, Inc.",7,6,,,Active,$3.66510-$4.35687
1,(R_10_ohm0603)RCA060310R0FKEAHP,R6(10),RCA060310R0FKEAHP,Thick Film Resistors - SMD 10    OHM   1% 1/3W,Vishay,RCA060310R0FKEAHP,RCA060310R0FKEAHP-7097616746,RCA060310R0FKEAHP,"Vishay Intertechnology, Inc.",10,8,,,Active,$0.04713-$0.05765
1,3224W-1-203E,R7(TRIM20KOHM),3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",Bourns,3224W-1-203E,3224W-1-203E-1912318729,3224W-1-203E,"Bourns, Inc.",10,8,,,Active,$2.46836-$3.82844
1,,R8(200),RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,,,,,,,,,,
1,,R9(200),RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,,,,,,,,,,
1,ERJUP6D1300V,R10(130OHM),ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",Panasonic,ERJUP6D1300V,,,,,,,,,
1,P0603E50R0BBT,R11(50OHM),P0603E50R0BBT,Thin Film Resistors - SMD .125watts 50ohms .1% 25ppm,Vishay,P0603E50R0BBT,P0603E50R0BBT-8307368273,P0603E50R0BBT,"Vishay Intertechnology, Inc.",5,2,,,Active,$5.23260-$5.32152
1,R12-150B,R12_150B,R12-150B,"Recom 5W Isolated DC-DC Converter, Vin 10  14 V dc, Vout 95  210V dc, I/O isolation 3000V dc",,,,,,,,,,,
1,(R_402_ohm)MCT06030C4020FP500,R12(402),MCT06030C4020FP500,Thin Film Resistors - SMD MCT 0603-50 1% P5 402R,,,,,,,,,,,
1,(R_27_ohm0603)ERJ3RED27R0V,R13(27),ERJ3RED27R0V,Panasonic Thick Film Surface Mount Resistor 0603 Case 27 +/-0.5% 0.1W +/-100ppm/C,Panasonic,ERJ3RED27R0V,ERJ3RED27R0V-2024111808,ERJ3RED27R0V,Panasonic Corporation,7,2,,,Active,$0.01482-$0.01596
1,3224W-1-203E,R15(TRIM20KOHM),3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",Bourns,3224W-1-203E,3224W-1-203E-1912318729,3224W-1-203E,"Bourns, Inc.",10,8,,,Active,$2.46836-$3.82844
1,,R16(200),RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,,,,,,,,,,
1,,R17(130),ERJS03F1300V,130 0603 Thick Film Surface Mount Resistor +/-1% 0.1W ERJS03F1300V,,,,,,,,,,,
1,,R18(100),CRCW0603100RFKEC,"VISHAY - CRCW0603100RFKEC - RES, AEC-Q200, THICK FILM, 100R, 0603",,,,,,,,,,,
1,,R19(0),RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,,,,,,,,,,
1,,R20(0),RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,,,,,,,,,,
1,3224W-1-203E,R21(TRIM20KOHM),3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",Bourns,3224W-1-203E,3224W-1-203E-1912318729,3224W-1-203E,"Bourns, Inc.",10,8,,,Active,$2.46836-$3.82844
1,,R22(200),RA73F1J200RBTDF,Configuration Features: Number of Resistors 1 | Dimensions: Product Width .8 MM | Product Height .43 MM | Product Length 1.55 MM | Product Length .061 INCH | Product Width .031 INCH | Product Height .017 INCH | Electrical Characteristics: Power Rating .5 WATT | Resistance Value 200 OHM | Resistance Class Up to 1k | Passive Component Tolerance .1 PCT | Packaging Features: Packaging Method Tape & Reel | Product Type Features: Package Size Code 0630 | Element Type Thin Film | Resistor Type Precision Resistor,,,,,,,,,,,
1,,R23(130),ERJS03F1300V,130 0603 Thick Film Surface Mount Resistor +/-1% 0.1W ERJS03F1300V,,,,,,,,,,,
1,P0603E50R0BBT,R24(50OHM),P0603E50R0BBT,Thin Film Resistors - SMD .125watts 50ohms .1% 25ppm,Vishay,P0603E50R0BBT,P0603E50R0BBT-8307368273,P0603E50R0BBT,"Vishay Intertechnology, Inc.",5,2,,,Active,$5.23260-$5.32152
1,,R25(100),CRCW0603100RFKEC,"VISHAY - CRCW0603100RFKEC - RES, AEC-Q200, THICK FILM, 100R, 0603",,,,,,,,,,,
1,,R26(0),RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,,,,,,,,,,
1,,R27(0),RC0603JR-070RL,"YAGEO (PHYCOMP) - RC0603JR-070RL - RES, THICK FILM, 0R, 5%, 0.1W, 0603",,,,,,,,,,,
1,TLV3604DCKR,TLV3604_1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,Texas Instruments,TLV3604DCKR,TLV3604DCKR-145239971740,TLV3604DCKR,Texas Instruments Incorporated,9,5,,,Active,$3.43581-$3.65957
1,TLV3604DCKR,TLV3604_2,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,Texas Instruments,TLV3604DCKR,TLV3604DCKR-145239971740,TLV3604DCKR,Texas Instruments Incorporated,9,5,,,Active,$3.43581-$3.65957
1,TSW-110-07-G-D,TSW11007GD,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",SAMTEC,TSW-110-07-G-D,TSW-110-07-G-D-1643049461,TSW-110-07-G-D,"Samtec, Inc",10,10,,,Active,$0.78964-$1.04350
