  Revised: Thursday, March 20, 2025
          Revision: 







Design Name:  C:\USERS\USER\DESKTOP\NEW_LIDAR\NEW_LIDAR\NEW_LIDAR.DSN

Export Placement            March 20,2025      2:04:12,Page1

Item,Reference,Part,SchematicName,Sheet,Library,X,Y
32,C226,22UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 3.80, 1.10
33,C227,10UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 3.80, 2.10
34,C230,0.1UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 7.80, 5.30
35,C231,1NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 7.80, 5.60
36,C232,0.1UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 11.50, 5.30
37,C233,1NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 11.50, 5.60
38,C234,100NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 8.00, 5.90
39,C235,100NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 8.00, 6.20
40,C236,6.8UF,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 15.10, 10.90
41,D1,MTAPD-06-013,SCHEMATIC1/PAGE1,1,C:\USERS\SKY94\ONEDRIVE\DESKTOP\¥Î«–\LIDAR\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.50, 5.10
42,IC9,OPA855IDSGR,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\80DB_LIDAR.DSN, 4.40, 5.00
43,JP1,4 HEADER,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_VER1.DSN, 0.50, 1.30
44,J1,TSW-110-07-G-D,SCHEMATIC1/PAGE1,1,C:\USERS\SKY94\APPDATA\ROAMING\SPB_DATA\CDSSETUP\WORKSPACE\PROJECTS\NEW_LIDAR\NEW_LIDAR.DSN, 23.00, 7.20
45,R60,200,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 16.10, 10.10
46,R61,20 k,SCHEMATIC1/PAGE1,1,C:\CADENCE\SPB_17.2\TOOLS\CAPTURE\LIBRARY\DISCRETE.OLB, 14.30, 10.60
47,R62,100,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 19.60, 9.90
48,R63,200,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 17.30, 10.70
49,R73,200k,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 1.40, 4.60
50,R74,500,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 3.60, 5.10
51,R77,200,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.40, 6.20
52,R78,20 k,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\80DB_LIDAR.DSN, 1.20, 6.70
53,R79,10,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 3.60, 5.30
54,R80,130,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 3.70, 6.80
55,R114,500,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 9.50, 5.30
56,R117,360,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 8.40, 5.30
57,R122,27,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 11.80, 5.30
58,R123,50,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 16.90, 8.50
59,R126,100,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 19.10, 5.40
60,R127,200,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 15.60, 5.60
61,R128,20 kohm,SCHEMATIC1/PAGE1,1,C:\CADENCE\SPB_17.2\TOOLS\CAPTURE\LIBRARY\DISCRETE.OLB, 13.80, 6.10
62,R129,200,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 16.80, 6.20
63,R131,10,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 5.60, 2.80
64,R132,10,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 8.60, 1.40
65,R135,20,SCHEMATIC1/PAGE1,1,C:\CADENCE\ORCADX_24.1\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 7.70, 6.10
66,U1,LM2940,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.90, 0.60
67,U2,R12_150B,SCHEMATIC1/PAGE1,1,C:\USERS\SKY94\APPDATA\ROAMING\SPB_DATA\CDSSETUP\WORKSPACE\PROJECTS\NEW_LIDAR\NEW_LIDAR.DSN, 6.20, 1.20
68,U3,LM2990,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.90, 1.90
69,U15,OPA277,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 16.00, 10.50
70,U16,TLV3604,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 18.60, 9.80
71,U45,OPA277,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.40, 6.60
72,U63,SMA_CON,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 16.20, 8.30
73,U70,OPA695,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 9.40, 5.70
74,U72,TLV3604,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 18.10, 5.30
75,U73,OPA277,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 15.50, 6.00
76,VA_R,5 k,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\80DB_LIDAR.DSN, 6.60, 2.40
