Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
26,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C30(0.1UF),KEMET,C0603G104K5RACT250,304,,,
27,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF),TDK,C3216X5R2J102M115AA,307,,,
28,1,C3216C0G2J103G160AE,"Multilayer Ceramic Capacitors MLCC - SMD/SMT Commercial Grade,MLCC,1206,C0G,630V,10nF,+/-2%,1.6mm",C3216C0G2J103G160AE,C32(10NF),TDK,C3216C0G2J103G160AE,612,,,
29,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C34(6.8UF),Kyocera AVX,TAJA685K020R,301,,,
30,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C35(0.1UF),KEMET,C0603G104K5RACT250,319,,,
31,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C36(0.1UF),KEMET,C0603G104K5RACT250,245,,,
32,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C37(0.1UF),KEMET,C0603G104K5RACT250,328,,,
33,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C38(1NF),TDK,C3216X5R2J102M115AA,273,,,
34,1,C3216C0G2J103G160AE,"Multilayer Ceramic Capacitors MLCC - SMD/SMT Commercial Grade,MLCC,1206,C0G,630V,10nF,+/-2%,1.6mm",C3216C0G2J103G160AE,C39(10NF),TDK,C3216C0G2J103G160AE,640,,,
35,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C40(6.8UF),Kyocera AVX,TAJA685K020R,596,,,
36,1,CL32Y476KPVVPNE,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47uF X7S 10V 1210 Auto grade,(47uF)CL32Y476KPVVPNE,C246(47UF),SAMSUNG,CL32Y476KPVVPNE,490,,,
37,1,UMK212BBJ475KG-T,Capacitor MLCC 0805 X5R 50V 4.7uF Taiyo Yuden 4.7uF Multilayer Ceramic Capacitor (MLCC) 50 V dc +/-10% X5R dielectric M Solder max op. temp. +85C,(4.7uF)UMK212BBJ475KG-T,C246(4.7UF),TAIYO YUDEN,UMK212BBJ475KG-T,493,,,
38,1,T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",T491A106K016AT,C246(10UF),KEMET,T491A106K016AT,365,,,
39,1,T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",T491A106K016AT,C246(10UF)1,KEMET,T491A106K016AT,400,,,
40,1,TPSB226K016R0600,AVX 22,TPSB226K016R0600,C247(22UF),Kyocera AVX,TPSB226K016R0600,384,,,
41,1,OPA855IDSGR,"High Speed Operational Amplifiers 8 GHz Gain Bandwidth Product, Decompensated Transimpedance Amplifier with Bipolar Input 8-WSON -40 to 125",OPA855IDSGR,IC1,Texas Instruments,OPA855IDSGR,454,,,
42,1,OPA277U_2K5,High Precision Operational Amplifiers,OPA277U/2K5,IC2,Texas Instruments,OPA277U/2K5,292,,,
43,1,OPA277U_2K5,High Precision Operational Amplifiers,OPA277U/2K5,IC3,Texas Instruments,OPA277U/2K5,279,,,
44,1,OPA277U_2K5,High Precision Operational Amplifiers,OPA277U/2K5,IC4,Texas Instruments,OPA277U/2K5,310,,,
45,1,LM2940T-5.0_NOPB,"Texas Instruments LM2940T-5.0/NOPB, LDO Voltage Regulator, 1A, 5 V, 6.25  26 Vin 3-Pin, TO-220",LM2940T-5.0/NOPB,IC11,Texas Instruments,LM2940T-5.0/NOPB,361,,,
46,1,LM2990T-5.0_NOPB,"Texas Instruments LM2990T-5.0/NOPB, LDO Voltage Regulator, 1A, -5 V +/-5%, -26  0.3 Vin, 3-Pin TO-220",LM2990T-5.0/NOPB,IC12,Texas Instruments,LM2990T-5.0/NOPB,414,,,
47,1,OPA695IDBVR,"Ultra-Wideband, Current-Feedback Operational Amplifier with Disable",OPA695IDBVR,IC13,Texas Instruments,OPA695IDBVR,573,,,
48,1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,IC14,Texas Instruments,TLV3604DCKR,624,,,
49,1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,IC15,Texas Instruments,TLV3604DCKR,599,,,
50,1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",TSW-110-07-G-D,J2,SAMTEC,TSW-110-07-G-D,655,,,
51,1,R12-150B,"Recom 5W Isolated DC-DC Converter, Vin 10  14 V dc, Vout 95  210V dc, I/O isolation 3000V dc",R12-150B,PS1,,,503,,,
52,1,TNPW0603200KBEEA,Vishay TNPW Series Thin Film Surface Mount Resistor 0603 Case 200k +/-0.1% 0.1W +/-25ppm/K,TNPW0603200KBEEA,R4(200K),Vishay,TNPW0603200KBEEA,442,,,
53,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM)1,Vishay,CRCW201010R0JNEFIF,496,,,
54,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM)2,Vishay,CRCW201010R0JNEFIF,445,,,
55,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM),Vishay,CRCW201010R0JNEFIF,487,,,
56,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R8(200OHM),Vishay,CRCW0402200RFKEDHP,267,,,
57,1,KTR03EZPF3600,Thick Film Resistors - SMD 0603 360ohm 1% High Voltage,KTR03EZPF3600,R9(360OHM),ROHM Semiconductor,KTR03EZPF3600,549,,,
58,1,ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",ERJUP6D1300V,R9(130OHM),Panasonic,ERJUP6D1300V,235,,,
59,1,CRCW120620R0FKEAHP,Vishay CRCW Series Thick Film High Power Surface Mount Resistor 1206 Case 20 +/-1% 0.5W +/-100ppm/K,CRCW120620R0FKEAHP,R10(20OHM),Vishay,CRCW120620R0FKEAHP,540,,,
60,1,MCA12060D5000BP500,"500 Ohms +/-0.1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",MCA12060D5000BP500,R11(500OHM),Vishay,MCA12060D5000BP500,439,,,
61,1,MCA12060D5000BP500,"500 Ohms +/-0.1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",MCA12060D5000BP500,R11(500OHM)1,Vishay,MCA12060D5000BP500,561,,,
62,1,WSC251527R00FEA,Wirewound Resistors - SMD 1watt 27ohms 1%,WSC251527R00FEA,R12(27OHM),Vishay,WSC251527R00FEA,555,,,
63,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R15(200OHM),Vishay,CRCW0402200RFKEDHP,322,,,
64,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R16(200OHM),Vishay,CRCW0402200RFKEDHP,276,,,
65,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R17(0OHM),YAGEO,RC0603JR-070RL,618,,,
66,1,ERJ-1GJF1000C,"Series/Type: Precision Thick Film Chip Resistors, Power Rating (W): 0.05, Chip Size (LxW(EIA)) (mm): 0.6 x 0.3 (EIA:0201), Resistance Values (): 100, Resistance Tolerance (%): 1, T.C.R (10/K): +/-200",ERJ-1GJF1000C,R18(100OHM),Panasonic,ERJ-1GJF1000C,606,,,
67,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R19(0OHM),YAGEO,RC0603JR-070RL,631,,,
68,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R21(200OHM),Vishay,CRCW0402200RFKEDHP,232,,,
69,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R22(200OHM),Vishay,CRCW0402200RFKEDHP,334,,,
70,1,P0603E50R0BBT,Thin Film Resistors - SMD .125watts 50ohms .1% 25ppm,P0603E50R0BBT,R23(50OHM),Vishay,P0603E50R0BBT,637,,,
71,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R24(0OHM),YAGEO,RC0603JR-070RL,615,,,
72,1,ERJ-1GJF1000C,"Series/Type: Precision Thick Film Chip Resistors, Power Rating (W): 0.05, Chip Size (LxW(EIA)) (mm): 0.6 x 0.3 (EIA:0201), Resistance Values (): 100, Resistance Tolerance (%): 1, T.C.R (10/K): +/-200",ERJ-1GJF1000C,R25(100OHM)1,Panasonic,ERJ-1GJF1000C,609,,,
73,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R26(0OHM),YAGEO,RC0603JR-070RL,621,,,
74,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR7(20KOHM),Bourns,3224W-1-203E,288,,,
75,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR14(20KOHM),Bourns,3224W-1-203E,238,,,
76,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR20(20KOHM),Bourns,3224W-1-203E,248,,,
77,1,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,MTAPD-06-013,U75,Marktech Optoelectronics,MTAPD-06-013,464,,,
78,1,TS7Y502KR32,"5 kOhms 0.5W, 1/2W Gull Wing Surface Mount Trimmer Potentiometer Cermet 1.0 Turn Top Adjustment",TS7Y502KR32,VR1,Vishay,TS7Y502KR32,499,,,
