Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C255,10nF,,,
1,,C256,6.8u,,,
1,,C274,1n,,,
1,,C275,0.1uF,,,
1,,C276,1n,,,
1,,C277,0.1uF,,,
1,,C278,1n,,,
1,,R147,100,,,
1,,R163,9.9k,,,
1,,R164,200,,,
1,,R165,130,,,
1,,R166,10.1k,,,
1,,U74,TLV3604,,,
1,,U78,OPAx277,,,
