Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10nF,,,C255,,,49,,,
2,1,6.8u,,,C256,,,28,,,
3,1,1n,,,C274,,,107,,,
4,1,0.1uF,,,C275,,,80,,,
5,1,1n,,,C276,,,101,,,
6,1,0.1uF,,,C277,,,77,,,
7,1,1n,,,C278,,,104,,,
8,1,100,,,R147,,,40,,,
9,1,9.9k,,,R163,,,71,,,
10,1,200,,,R164,,,74,,,
11,1,130,,,R165,,,98,,,
12,1,10.1k,,,R166,,,89,,,
13,1,TLV3604,,,U74,,,15,,,
14,1,OPAx277,,,U78,,,92,,,
