Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,500,,,R151,,,18,,,
2,1,500,,,R152,,,58,,,
3,1,uA741,,,U47,,,48,,,
4,1,OPA856,,,U48,,,66,,,
